,artist_name,artist_id,followers,popularity,genres
120,The Dangerous Summer,0iMnpaEHXkgMT956CmP1kj,59875,54,"['anthem emo', 'dreamo', 'emo', 'modern alternative rock', 'neon pop punk', 'pop emo', 'pop punk']"
121,Badflower,3T55D3LMiygE9eSKFpiAye,160239,62,"['modern alternative rock', 'modern rock', 'post-grunge', 'rock']"
122,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,998506,77,['alternative hip hop']
123,KennyHoopla,5ObBtv5VunwwhQaXXnUrsM,31991,57,['alternative r&b']
124,POORSTACY,7vSY9HEreOqb1Llar3UC38,54419,63,"['emo rap', 'melodic rap']"
125,NOISY,5bt1iZVk3VV1LxRL4wzZ9F,3481,47,[]
126,KID BRUNSWICK,4QxIol1JzAa4ePmDytv0e4,2441,46,[]
127,jxdn,6Y64EaNqpqcZYTgs4c76gF,470186,72,"['pop', 'social media pop']"
128,Tommy Lee,4b9L0p4cMof32XvjwT9YrX,11437,54,['rock drums']
129,Post Malone,246dkjvS1zLTtiykXe5h60,28527850,94,"['dfw rap', 'melodic rap', 'rap']"
130,blink-182,6FBDaR13swtiWwGhX1WQsP,6075100,81,"['pop punk', 'punk', 'socal pop punk']"
131,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,1124764,79,"['british indie rock', 'modern alternative rock', 'modern rock', 'rock']"
132,100 gecs,6PfSUFtkMVoDkx4MQkzOi3,307216,72,"['escape room', 'glitchcore']"
133,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,8228777,84,"['emo', 'modern rock', 'pop punk']"
134,Craig Owens,5aYf0AInMznHfXGaemKEBv,12062,52,[]
135,Nicole Dollanganger,0MfC3pip8rY8OFLJVVNvBO,99638,56,['canadian singer-songwriter']
136,Tom Morello,74NBPbyyftqJ4SpDZ4c1Ed,81431,58,['modern alternative rock']
137,Shea Diamond,5blcro89qJueGv0DGQ2rsH,9113,40,['transpop']
138,Dan Reynolds,3k3gbUT7bF0jYmFmAKBQtU,18669,54,[]
139,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5,206452,57,"['alternative dance', 'dance-punk', 'edm', 'electro house', 'fidget house', 'filter house', 'new rave']"
140,The Pretty Reckless,2R57sY41L9XvGPiIgHOaYq,946195,65,"['alternative metal', 'candy pop']"
141,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,1738072,75,"['metalcore', 'pop punk', 'screamo']"
142,Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,1489869,72,"['metalcore', 'trancecore', 'uk metalcore']"
143,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,2903503,77,"['alternative metal', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'wrestling']"
144,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,712268,74,['nu-metalcore']
145,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,1412161,79,"['boston hip hop', 'hip hop', 'pop rap', 'rap']"
146,Palaye Royale,0hAd6zwEgt9ILuMDY1prcI,270882,65,"['modern alternative rock', 'modern rock', 'rock', 'vegas indie']"
147,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,418642,66,"['modern alternative rock', 'modern rock', 'post-grunge', 'rock']"
148,JJ Wilde,1pLZeUSXJwVVJSPhmBSwf6,9522,48,['canadian rock']
149,Bush,78SHxLdtysAXgywQ4vE0Oa,1157859,67,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
150,Corey Taylor,0nhDd1RWjZ6SDV1Vg1Ku2Q,200372,65,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock']"
151,Pop Evil,1pRaG81GsVtaTBuVSpldt2,367355,64,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock']"
152,The Killers,0C0XlULifJtAgn6ZNCW2eu,5584814,82,"['modern rock', 'permanent wave', 'rock']"
153,Nothing But Thieves,1kDGbuxWknIKx4FlgWxiSp,615889,71,"['alternative pop rock', 'modern alternative rock', 'modern rock', 'rock']"
154,Betcha,3pT3KTodKJRyqpxoXINfQh,10159,51,"['hopebeat', 'modern alternative rock', 'nashville indie']"
155,X Ambassadors,3NPpFNZtSTHheNBaWC82rB,2230984,78,"['modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock', 'stomp pop']"
156,K.Flay,0pCNk4D3E2xtszsm6hMsWr,345233,69,"['electropop', 'escape room', 'hip pop', 'indie poptimism', 'indie rock', 'modern alternative rock', 'modern rock', 'pop', 'rock']"
157,Falling In Reverse,2CmaKO2zEGJ1NWpS1yfVGz,1474526,74,"['metalcore', 'pop punk', 'rap metal']"
158,Fame on Fire,10Z7WzKMeIdNBKexi1YarP,129747,66,['post-screamo']
159,Des Rocs,2kO6mP0olFJGGh6kvUdNC8,87092,59,"['modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rebel blues', 'rock']"
160,STARSET,0kD8IT1CzF7js2XKM9lLLa,591000,70,"['alternative metal', 'future rock']"
161,Point North,5Vp7LqcfAtx2U1RfIX8i7r,44245,61,"['anthem emo', 'pop punk', 'post-screamo']"
162,Grey Daze,1OPyWvWWkx18pqGjugyxrl,41067,53,['post-grunge']
163,From Ashes to New,4HrkLxQHZ5mgCtIVpiH5QX,207200,66,"['alternative metal', 'gymcore', 'post-screamo', 'rap rock']"
164,In Flames,57ylwQTnFnIhJh4nu4rxCs,809606,69,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish metal']"
165,Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,431510,69,"['alternative metal', 'metal']"
166,Slaves,4rMxZovfLSDjEL9eI2pKo7,155494,62,[]
167,White Reaper,75klPfIVnyYcyEGaicRUSF,53694,51,"['indie garage rock', 'indie punk', 'modern power pop']"
168,HOKO,7DBibsUWd2RMKmXbple4xZ,2470,46,[]
169,cleopatrick,6VTvaLJ9arNmKi8e1ekOwW,95037,57,"['modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']"
170,Weezer,3jOstUTkEu2JkjvRdBA5Gu,2106983,76,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'rock']"
171,Blue October,1TJbmc7jTpw78GKCiMpvDh,304206,61,"['neo mellow', 'pop rock', 'post-grunge', 'san marcos tx indie']"
172,Chris Cornell,0XHiH53dHrvbwfjYM7en7I,1346662,67,"['alternative metal', 'alternative rock', 'rock']"
173,Kito,3FLUBwpAnaIlIKeaBfsxFe,14847,67,['electra']
174,ZHU,28j8lBWDdDSHSSt5oPlsX2,612892,73,"['edm', 'house']"
175,Jeremih,3KV3p5EY4AvKxOlhGHORLg,4546696,82,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
176,Madonna,6tbjWDEIzxoDsBA1FuhfPW,4440643,81,"['dance pop', 'pop']"
177,Missy Elliott,2wIVse2owClT7go1WT98tk,1441285,77,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary', 'virginia hip hop']"
178,The Blessed Madonna,4TvhRzxIL1le2PWCeUqxQw,4868,71,[]
179,SG Lewis,0GG2cWaonE4JPrjcCCQ1EG,206100,71,"['alternative r&b', 'edm', 'electropop', 'indie r&b', 'indie soul', 'pop', 'tropical house', 'vapor soul']"
180,Robyn,6UE7nl9mha6s8z0wFQFIZ2,678088,69,"['art pop', 'dance pop', 'electropop', 'europop', 'pop', 'pop rock', 'scandipop', 'swedish electropop', 'swedish pop']"
181,Channel Tres,4cUkGQyhLFqKHBtL58HYVp,102639,64,"['indie soul', 'la pop']"
182,Paul Woolford,4CA8PTrbq1l5IgyvBA2JSV,22855,71,"['deep groove house', 'house', 'uk house']"
